County_subdivision,a,Y,b,c,d,e,f,sub,County,coun,Housings,House_age,Hispanic
"District 6, St. Helena Parish",1.603888889,2.453674294,20,1871.185907,37.9471476,65313,4.5,111,St. Helena Parish,23,778,85.2,20.7
"District 2, St. Martin Parish",27.045,0.501728702,0.5,256.7807184,117.8493978,53613,48.7,44,St. Martin Parish,27,2243,83.6,1.2
"District 2, St. Helena Parish",2.927777778,3.0991459,20,1871.185907,26.35700626,37258,63.2,40,St. Helena Parish,23,845,83.6,10.5
"District 2, Tangipahoa Parish",1489.21,2.040815304,18,4412.433962,44.15472924,60856,8.7,47,Tangipahoa Parish,30,6501,59.8,1.8
"District 5, Jefferson Parish",1109.690278,6.762160058,13,2673.810125,47.14113183,58328,9.4,90,Jefferson Parish,13,44957,91.7,1
"District 9, West Baton Rouge Parish",287.2405556,1.483607264,1,689.8355544,44.06906714,43451,80.3,157,West Baton Rouge Parish,35,1259,86.7,0.7
"District 5, St. Tammany Parish",151.4627778,1.854323916,10,2762.940346,74.03470431,70338,4.9,100,St. Tammany Parish,29,7572,54.5,7.4
"District 5, St. Mary Parish",32.45,0.531311534,3,1509.904956,72.42899255,46234,36.8,99,St. Mary Parish,28,3668,75.9,12.3
"District 2, Terrebonne Parish",195.9066667,5.29687744,28,14205.6518,38.74231256,33455,45.7,48,Terrebonne Parish,31,5651,78.7,6.4
"District 13, Iberville Parish",11.47027778,0.298921042,16,1108.318,45.70041736,56188,54.6,29,Iberville Parish,11,1941,53.9,9.9
"District 13, Vermilion Parish",2.120833333,0.25700819,0,0,175.7893678,63250,0,31,Vermilion Parish,32,1709,71.7,2.9
"District 13, Iberia Parish",5.618888889,0.51697971,0,441.6990598,129.1326658,70383,2.3,28,Iberia Parish,10,2292,71.2,1.6
"District 13, St. Tammany Parish",557.5244444,1.727656493,10,1096.640457,92.8374055,74312,18.8,30,St. Tammany Parish,29,8995,56.4,0.8
"District 1, St. John the Baptist Parish",51.78611111,3.550574798,27,7743.120862,8.470528563,38424,78.8,12,St. John the Baptist Parish,25,2022,75.4,4.4
"District 1, St. Tammany Parish",1414.849722,2.029488176,10,2581.708895,60.98356422,95407,6.3,15,St. Tammany Parish,29,13944,36.7,5.7
"District 1, Jefferson Parish",2789.753611,5.791710735,13,33138.06343,47.33623123,56524,35.2,6,Jefferson Parish,13,38577,88,2.8
"District 1, Assumption Parish",5.174722222,3.055807617,14,3732.959216,38.86509866,32885,71.2,1,Assumption Parish,3,1066,87.4,0
"District 1, St. Helena Parish",1.67,4.53623248,20,2302.23461,36.38599126,51953,58,11,St. Helena Parish,23,849,84.1,3.8
"District 1, Sabine Parish",1.615277778,8.282451992,0,0,236.5477539,43099,9.7,10,Sabine Parish,20,1627,82.7,8
"District 1, Iberia Parish",4.956944444,0.977573807,0,333.1922212,118.6710076,33834,55.2,3,Iberia Parish,10,2082,94.2,14.6
"District 1, Terrebonne Parish",638.3377778,9.723650002,28,9217.054709,39.86023937,27578,51.3,17,Terrebonne Parish,31,3798,83.7,7.9
"District 1, St. Mary Parish",66.20222222,1.207730197,3,3162.434416,103.8915856,30635,55.8,14,St. Mary Parish,28,3095,72.4,6.7
"District 1, Iberville Parish",0.557777778,2.773427065,16,950.5769779,55.00657679,26563,81.3,4,Iberville Parish,11,1080,88.5,1.8
"District 1, St. Martin Parish",4.333611111,1.000597468,0.5,256.7807184,69.69752264,53844,18.5,13,St. Martin Parish,27,3626,86.5,4.5
"District 1, Lafourche Parish",6.262777778,6.185723859,29,1990.760121,27.33162523,31491,54.8,7,Lafourche Parish,15,4323,78.5,0
"District 1, Plaquemines Parish",192.2297222,5.748240647,15,4007.467,88.01040558,16765,76.4,9,Plaquemines Parish,18,732,47.1,0
"District 1, Jefferson Davis Parish",0.531944444,1.880997098,0.5,0,195.5004448,34074,10,5,Jefferson Davis Parish,12,1062,87.2,0.2
"District 1, Cameron Parish",131.1913889,6.804070382,0.5,0,287.3768993,133056,0,2,Cameron Parish,5,198,15.6,0
"District 1, Livingston Parish",4147.839722,2.995269051,18,1681.272554,5.73460721,52142,4,8,Livingston Parish,16,4876,54.8,3.2
"District 1, Acadia Parish",1.613611111,2.41244807,0,0,157.8141806,16583,64.2,0,Acadia Parish,0,2667,93.3,0
"District 1, Tangipahoa Parish",249.3713889,0.809821808,18,1892.383798,47.2218918,44112,38,16,Tangipahoa Parish,30,6112,77.2,2
"District 4, St. John the Baptist Parish",133.7733333,5.192054321,27,8018.730057,22.56385906,47425,54.2,82,St. John the Baptist Parish,25,3627,88.1,8.4
"District 5, St. John the Baptist Parish",1524.126944,11.07066691,27,8018.730057,41.48249526,63427,44.8,98,St. John the Baptist Parish,25,3221,71.9,0
"District 7, Plaquemines Parish",1.040833333,11.61654179,15,4007.467,60.12684846,37907,31.8,123,Plaquemines Parish,18,864,7.5,1.6
"District 8, Plaquemines Parish",300,12.88159162,15,4007.467,64.17752597,36875,11.5,139,Plaquemines Parish,18,714,24.8,2.3
"District 9, Plaquemines Parish",284.5569444,12.22138832,15,4055.235014,74.98304161,38750,12.4,152,Plaquemines Parish,18,727,36.1,6.1
"District 4, Assumption Parish",3.095277778,1.908696264,14,1518.388631,42.49222908,29495,40.3,72,Assumption Parish,3,1372,88.6,2.6
